Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.1,0
No,62,No,No,DSL,No,Yes,Two year,Yes,39.0,0
No,51,Yes,Yes,DSL,Yes,Yes,Two year,Yes,83.25,0
No,25,Yes,No,Fiber optic,No,No,Month-to-month,No,74.3,0
No,66,Yes,Yes,Fiber optic,Yes,Yes,One year,No,115.8,0
Yes,25,Yes,No,DSL,No,Yes,Month-to-month,No,54.3,0
Yes,56,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,0
No,14,No,Yes,DSL,No,No,Month-to-month,No,50.45,0
No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,86.0,1
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.55,1
No,64,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,103.5,0
No,1,No,Yes,Fiber optic,No,Yes,Month-to-month,No,91.7,1
No,43,No,No,DSL,No,Yes,One year,Yes,64.85,0
No,71,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.65,0
Yes,72,Yes,Yes,DSL,Yes,No,Two year,No,68.75,0
No,65,No,Yes,Fiber optic,Yes,No,One year,Yes,106.25,1
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,75.9,1
No,9,No,No,Fiber optic,No,No,Month-to-month,No,94.4,1
No,36,No,No,Fiber optic,No,No,Month-to-month,Yes,84.1,1
No,18,No,No,DSL,Yes,No,Month-to-month,Yes,49.55,1
No,41,No,No,DSL,Yes,No,One year,Yes,73.0,1
No,20,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,1
Yes,52,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.6,0
No,1,No,Yes,Fiber optic,No,No,Month-to-month,No,74.35,0
Yes,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.45,0
No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,84.45,1
No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,74.55,1
No,2,No,Yes,DSL,No,No,Month-to-month,No,49.2,0
No,8,No,No,DSL,Yes,Yes,Month-to-month,No,64.1,0
Yes,50,No,Yes,Fiber optic,Yes,Yes,One year,Yes,103.4,0
No,9,No,No,Fiber optic,Yes,No,Month-to-month,Yes,73.8,0
No,7,No,No,Fiber optic,Yes,No,Month-to-month,Yes,74.9,0
Yes,30,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.4,1
No,2,No,No,Fiber optic,No,No,Month-to-month,No,70.75,1
Yes,49,Yes,Yes,DSL,Yes,Yes,One year,Yes,87.2,0
No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.75,0
Yes,1,Yes,No,DSL,No,Yes,Month-to-month,No,54.5,0
No,2,No,Yes,DSL,No,No,Month-to-month,Yes,59.0,0
Yes,41,Yes,No,DSL,Yes,No,One year,No,35.4,0
No,60,Yes,Yes,DSL,No,Yes,Two year,Yes,61.35,0
Yes,72,Yes,Yes,Fiber optic,Yes,No,Two year,No,109.55,0
No,7,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.8,1
No,63,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.1,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,85.45,1
No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.15,0
Yes,26,No,Yes,DSL,No,No,One year,Yes,39.95,0
No,7,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,0
No,5,Yes,No,DSL,Yes,No,Month-to-month,No,55.8,0
No,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.45,0
No,36,Yes,Yes,DSL,Yes,Yes,One year,No,85.85,0
No,1,No,No,DSL,No,No,Month-to-month,Yes,36.45,1
No,19,No,No,DSL,Yes,No,Month-to-month,Yes,39.65,1
No,49,No,No,DSL,Yes,Yes,Two year,Yes,74.45,0
Yes,35,Yes,No,DSL,No,Yes,Two year,Yes,46.35,0
No,57,No,Yes,DSL,Yes,No,Two year,Yes,79.75,0
No,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.0,0
Yes,67,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.55,0
No,59,Yes,Yes,Fiber optic,Yes,No,One year,Yes,82.95,0
Yes,6,No,Yes,Fiber optic,No,No,Month-to-month,Yes,83.55,1
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,65.25,0
No,2,Yes,Yes,DSL,No,No,Month-to-month,Yes,42.6,1
Yes,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.65,0
No,51,No,Yes,Fiber optic,Yes,Yes,One year,Yes,111.5,0
No,72,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,102.65,0
Yes,15,No,No,DSL,No,No,Month-to-month,No,46.3,0
Yes,65,No,Yes,DSL,Yes,Yes,Two year,Yes,84.2,0
No,26,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.85,1
Yes,58,Yes,No,DSL,Yes,Yes,Two year,No,75.8,0
No,52,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,104.2,1
Yes,61,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.1,0
No,18,No,No,Fiber optic,No,No,Month-to-month,No,78.55,1
No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,0
No,55,Yes,Yes,DSL,No,Yes,Two year,No,56.8,0
Yes,72,Yes,No,DSL,Yes,Yes,Two year,No,66.85,0
Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.7,0
Yes,27,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.6,0
No,52,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,102.7,0
No,44,No,Yes,DSL,Yes,No,One year,Yes,53.95,1
Yes,11,No,No,Fiber optic,Yes,No,Month-to-month,Yes,78.1,0
No,41,No,No,DSL,Yes,No,One year,Yes,51.35,0
Yes,7,No,No,DSL,No,No,Month-to-month,No,48.8,0
No,10,No,No,Fiber optic,No,Yes,Month-to-month,Yes,95.1,0
No,6,Yes,No,Fiber optic,No,No,Month-to-month,Yes,85.15,1
No,53,Yes,Yes,Fiber optic,No,Yes,One year,Yes,96.75,0
No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,75.6,0
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,76.95,1
No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,88.4,0
Yes,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.85,0
No,18,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.0,0
No,50,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,83.4,0
No,2,No,No,DSL,No,No,Month-to-month,Yes,45.4,0
No,44,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,0
Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.05,0
No,64,Yes,No,Fiber optic,No,No,Month-to-month,Yes,73.55,0
Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,26.25,0
No,66,No,Yes,Fiber optic,Yes,Yes,One year,Yes,110.85,1
Yes,41,Yes,No,DSL,No,Yes,One year,Yes,74.7,0
No,54,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.65,0
No,26,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.35,1
Yes,70,Yes,No,DSL,Yes,No,Two year,No,68.95,0
No,8,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.45,1
No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,84.75,1
No,62,No,No,Fiber optic,Yes,No,One year,Yes,96.75,1
No,12,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,98.1,1
Yes,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,24.4,0
Yes,7,Yes,No,DSL,No,No,Month-to-month,No,69.7,0
No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.05,0
No,12,Yes,No,Fiber optic,No,No,Month-to-month,Yes,78.95,1
No,12,No,No,DSL,Yes,Yes,Month-to-month,Yes,43.65,1
No,28,No,No,Fiber optic,No,No,Month-to-month,Yes,80.6,0
No,24,No,Yes,DSL,No,No,Month-to-month,Yes,69.45,0
No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.6,1
Yes,23,No,No,DSL,No,Yes,Month-to-month,Yes,30.35,0
Yes,2,No,No,DSL,No,Yes,Month-to-month,No,29.05,0
No,18,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,0
No,40,No,Yes,Fiber optic,No,Yes,One year,Yes,99.2,1
No,17,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,0
Yes,63,Yes,Yes,DSL,Yes,Yes,Two year,No,63.55,0
No,11,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.55,0
No,52,Yes,No,DSL,Yes,No,One year,No,35.45,0
No,6,No,No,DSL,No,Yes,Month-to-month,No,50.05,0
No,46,Yes,No,DSL,Yes,No,Two year,No,79.2,0
No,56,No,Yes,Fiber optic,Yes,No,One year,Yes,104.75,1
No,46,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,93.7,1
No,1,No,No,DSL,Yes,Yes,Month-to-month,No,62.05,1
No,48,No,Yes,Fiber optic,Yes,No,One year,Yes,97.05,0
No,1,No,No,DSL,No,No,Month-to-month,Yes,45.65,1
Yes,44,No,Yes,DSL,No,Yes,Month-to-month,Yes,54.9,0
Yes,48,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.3,0
Yes,57,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,95.3,0
No,19,No,No,DSL,No,No,Month-to-month,Yes,45.0,0
Yes,10,Yes,No,Fiber optic,No,No,Month-to-month,Yes,100.25,1
No,40,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.6,0
No,70,No,Yes,Fiber optic,No,Yes,One year,Yes,105.55,0
No,35,No,No,DSL,Yes,No,Month-to-month,Yes,62.1,0
Yes,18,No,No,DSL,No,No,Month-to-month,Yes,45.65,0
Yes,13,No,No,DSL,No,No,One year,Yes,64.75,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.1,0
No,30,No,No,DSL,Yes,No,Month-to-month,Yes,50.0,0
Yes,67,Yes,No,DSL,Yes,Yes,Two year,No,67.85,0
No,24,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,89.25,0
No,63,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,108.25,0
No,16,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.2,1
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,0
Yes,55,No,No,Fiber optic,No,No,Two year,Yes,69.05,0
Yes,4,No,No,Fiber optic,No,No,Month-to-month,Yes,69.55,0
No,6,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,109.9,1
Yes,15,No,Yes,DSL,Yes,Yes,Month-to-month,No,76.5,0
No,9,No,No,Fiber optic,No,Yes,Month-to-month,Yes,95.9,0
No,34,Yes,Yes,DSL,No,Yes,One year,Yes,64.4,1
No,71,No,Yes,DSL,No,No,Two year,No,49.35,1
No,37,Yes,No,DSL,No,No,One year,No,64.65,0
No,31,No,No,Fiber optic,Yes,No,Month-to-month,No,88.65,0
No,10,No,No,Fiber optic,No,No,Month-to-month,No,85.55,1
Yes,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.3,0
Yes,14,No,No,Fiber optic,Yes,No,Month-to-month,Yes,87.25,1
No,15,Yes,No,DSL,Yes,Yes,Month-to-month,No,58.95,0
Yes,24,Yes,Yes,DSL,No,No,One year,No,78.4,0
No,9,No,No,DSL,No,Yes,Month-to-month,No,40.65,1
No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,86.8,1
Yes,35,Yes,Yes,DSL,Yes,Yes,Two year,Yes,69.15,0
Yes,52,Yes,Yes,DSL,Yes,No,Two year,No,79.2,0
Yes,67,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.8,0
Yes,13,No,No,Fiber optic,No,No,Month-to-month,Yes,78.3,0
No,19,Yes,No,DSL,Yes,No,Month-to-month,No,66.4,0
Yes,55,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,0
No,53,No,No,Fiber optic,No,No,One year,Yes,95.85,0
No,52,No,Yes,Fiber optic,No,No,One year,Yes,80.2,0
Yes,48,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.95,0
No,26,No,No,DSL,Yes,Yes,Month-to-month,Yes,44.45,0
No,39,No,No,Fiber optic,Yes,Yes,Two year,Yes,80.45,1
No,31,Yes,No,Fiber optic,No,No,Month-to-month,No,89.45,0
Yes,55,No,Yes,Fiber optic,Yes,Yes,One year,Yes,103.7,0
No,7,No,Yes,DSL,No,No,Month-to-month,Yes,40.1,1
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,74.45,1
Yes,2,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,1
No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,0
No,70,Yes,No,Fiber optic,No,No,Month-to-month,Yes,90.85,0
No,31,No,No,Fiber optic,Yes,Yes,Two year,No,99.45,0
No,29,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.6,1
No,4,Yes,No,Fiber optic,No,No,Month-to-month,No,75.35,0
No,9,Yes,No,DSL,No,No,Month-to-month,No,54.55,1
No,32,No,No,Fiber optic,Yes,No,Month-to-month,No,79.3,0
Yes,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,0
No,3,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.95,1
Yes,32,No,Yes,DSL,Yes,Yes,One year,No,83.7,0
No,32,No,Yes,Fiber optic,No,No,Month-to-month,Yes,98.85,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.85,0
No,7,No,No,DSL,No,No,Month-to-month,Yes,44.25,0
Yes,70,Yes,Yes,DSL,Yes,Yes,Two year,No,80.7,0
No,45,No,No,Fiber optic,Yes,No,Month-to-month,Yes,89.3,0
No,72,No,No,Fiber optic,Yes,No,Two year,Yes,97.85,0
No,3,No,No,DSL,No,No,Month-to-month,Yes,55.3,1
No,2,Yes,No,DSL,No,No,Month-to-month,Yes,62.15,0
No,27,Yes,No,DSL,No,No,One year,No,48.7,0
Yes,45,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.2,0
Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,69.1,1
No,34,Yes,Yes,Fiber optic,Yes,Yes,One year,No,116.25,0
No,22,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.25,0
No,46,No,No,DSL,Yes,Yes,One year,Yes,69.1,0
Yes,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.9,1
Yes,70,Yes,No,DSL,Yes,Yes,Two year,No,59.5,0
Yes,64,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,0
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,74.95,0
No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.1,0
No,1,No,No,Fiber optic,Yes,No,Month-to-month,No,94.4,1
No,2,No,No,Fiber optic,Yes,No,Month-to-month,No,76.4,1
Yes,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.45,0
No,52,No,No,Fiber optic,No,No,Month-to-month,Yes,72.95,0
Yes,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,109.2,0
No,47,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,67.45,0
No,2,No,No,Fiber optic,No,Yes,Month-to-month,Yes,94.2,1
Yes,46,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,110.2,0
Yes,55,Yes,Yes,DSL,No,Yes,Two year,No,57.55,1
Yes,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.45,0
Yes,9,No,No,Fiber optic,Yes,Yes,Month-to-month,No,103.1,0
No,33,Yes,No,Fiber optic,No,No,Month-to-month,Yes,90.65,0
Yes,19,No,No,Fiber optic,No,Yes,One year,Yes,100.95,1
No,15,No,No,DSL,No,No,Month-to-month,Yes,51.1,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,79.35,1
No,11,No,No,DSL,No,No,Month-to-month,Yes,44.65,0
Yes,38,Yes,Yes,DSL,No,No,Month-to-month,No,54.5,0
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,85.7,1
Yes,63,Yes,No,DSL,No,No,Two year,Yes,50.65,0
No,63,Yes,No,DSL,No,Yes,One year,No,36.1,0
No,2,No,No,DSL,Yes,Yes,Month-to-month,No,76.4,1
No,22,No,No,Fiber optic,No,No,One year,Yes,76.0,0
No,16,No,No,DSL,No,Yes,Month-to-month,Yes,49.95,1
Yes,33,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.15,0
No,64,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.05,0
No,48,Yes,No,DSL,Yes,No,Month-to-month,Yes,45.3,1
No,24,No,No,Fiber optic,No,No,Month-to-month,Yes,79.85,0
Yes,71,Yes,No,DSL,Yes,Yes,Two year,Yes,70.85,0
Yes,48,No,Yes,DSL,Yes,No,Month-to-month,No,45.55,0
Yes,0,Yes,No,DSL,Yes,Yes,Two year,Yes,52.55,0
No,68,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.0,1
No,57,No,Yes,Fiber optic,Yes,No,One year,Yes,90.65,0
No,11,Yes,Yes,DSL,No,No,Month-to-month,No,60.25,0
Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.6,0
No,46,Yes,Yes,DSL,No,No,Month-to-month,No,45.55,0
No,9,Yes,No,DSL,No,Yes,Month-to-month,No,64.95,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.3,0
Yes,48,Yes,No,Fiber optic,Yes,No,One year,Yes,99.7,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.2,0
No,65,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.4,0
No,72,No,No,DSL,Yes,No,Two year,Yes,73.45,0
No,39,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.45,0
Yes,4,No,No,DSL,No,No,Month-to-month,Yes,50.9,1
No,24,No,No,Fiber optic,No,No,Month-to-month,No,70.0,0
Yes,43,Yes,No,DSL,Yes,No,Two year,No,75.2,0
No,1,Yes,No,DSL,No,No,Month-to-month,No,49.75,0
No,21,No,Yes,DSL,No,Yes,Month-to-month,Yes,36.0,0
No,24,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,84.85,0
No,13,No,No,Fiber optic,No,No,Month-to-month,No,70.45,0
No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,89.5,1
No,3,No,No,DSL,No,Yes,Month-to-month,Yes,29.9,0
No,51,No,No,Fiber optic,No,No,Month-to-month,No,83.4,0
No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.9,0
No,2,No,No,DSL,No,No,Month-to-month,Yes,25.05,1
No,24,No,No,Fiber optic,No,No,Month-to-month,Yes,93.55,1
No,26,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.65,0
No,69,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,107.2,0
No,69,No,Yes,Fiber optic,No,No,One year,Yes,95.65,0
No,10,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,1
No,3,No,No,Fiber optic,No,No,Month-to-month,No,75.0,1
No,1,No,No,DSL,No,No,Month-to-month,Yes,50.1,1
No,38,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,84.25,1
No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,90.85,1
Yes,55,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.1,0
Yes,18,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.25,0
No,38,No,No,Fiber optic,No,No,Month-to-month,No,94.75,0
No,10,No,No,Fiber optic,No,No,Month-to-month,No,70.15,0
Yes,53,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.9,0
No,37,No,No,DSL,Yes,No,Month-to-month,Yes,40.2,0
No,46,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,21.1,0
Yes,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.05,0
No,1,No,No,DSL,Yes,No,Month-to-month,Yes,49.65,1
No,57,No,Yes,Fiber optic,Yes,No,Month-to-month,No,94.0,0
No,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,78.95,1
No,26,No,No,DSL,No,Yes,One year,No,59.45,0
